Car_ID,Make,Model,Year,Price
1499,Honda,Accord,2010,6578
379,Hyundai,Sonata,2012,6579
197,Suzuki,Swift,2020,6592
572,Hyundai,Sonata,2010,6650
996,Toyota,Camry,2024,6651
386,Honda,Accord,2022,6745
1427,Suzuki,Swift,2011,6874
226,Ford,Mustang,2019,6930
784,Suzuki,Swift,2015,6934
1257,Hyundai,Sonata,2014,6934
200,Hyundai,Sonata,2015,6953
436,Toyota,Corolla,2014,6976
1136,Toyota,Corolla,2014,6992
785,Suzuki,Swift,2018,7004
48,Ford,Mustang,2018,7013
12,Hyundai,Elantra,2023,7031
374,Ford,Explorer,2015,7060
314,Hyundai,Sonata,2022,7084
166,Honda,Civic,2012,7108
451,Honda,Accord,2014,7114
1107,Ford,Explorer,2026,7180
132,Toyota,Camry,2017,7226
196,Suzuki,Swift,2021,7252
1320,Hyundai,Elantra,2010,7303
1057,Ford,Explorer,2022,7308
1369,Toyota,Corolla,2012,7368
896,Suzuki,Swift,2017,7388
883,Ford,Mustang,2010,7395
891,Suzuki,Alto,2011,7407
955,Honda,Civic,2022,7449
164,Honda,Accord,2024,7494
194,Hyundai,Elantra,2020,7517
658,Suzuki,Swift,2024,7584
263,Hyundai,Sonata,2010,7670
298,Honda,Accord,2013,7701
445,Ford,Explorer,2018,7745
532,Ford,Mustang,2011,7749
1214,Ford,Mustang,2010,7771
14,Hyundai,Sonata,2019,7794
63,Suzuki,Swift,2025,7799
1114,Hyundai,Sonata,2017,7828
750,Honda,Civic,2019,7830
626,Ford,Mustang,2016,7833
843,Suzuki,Alto,2012,7903
28,Hyundai,Sonata,2023,7913
82,Honda,Accord,2011,7946
960,Toyota,Corolla,2010,7995
258,Toyota,Corolla,2011,8000
1151,Suzuki,Swift,2020,8003
211,Hyundai,Sonata,2026,8017
140,Honda,Accord,2015,8072
483,Ford,Explorer,2012,8103
650,Ford,Explorer,2021,8113
1331,Toyota,Camry,2021,8113
170,Suzuki,Alto,2011,8157
841,Hyundai,Sonata,2010,8194
518,Hyundai,Elantra,2021,8204
1472,Suzuki,Swift,2018,8241
968,Suzuki,Swift,2012,8257
721,Suzuki,Swift,2017,8279
98,Suzuki,Alto,2011,8283
341,Toyota,Camry,2026,8313
761,Toyota,Corolla,2013,8313
1008,Toyota,Camry,2021,8319
908,Hyundai,Elantra,2022,8404
717,Suzuki,Alto,2023,8413
449,Toyota,Camry,2017,8452
1370,Ford,Mustang,2022,8460
818,Ford,Mustang,2026,8505
1294,Hyundai,Sonata,2011,8538
1070,Suzuki,Alto,2024,8588
238,Suzuki,Swift,2011,8611
1491,Hyundai,Sonata,2010,8615
531,Ford,Explorer,2023,8620
35,Suzuki,Alto,2026,8637
984,Suzuki,Swift,2021,8665
521,Suzuki,Alto,2010,8672
825,Hyundai,Sonata,2023,8701
192,Hyundai,Sonata,2022,8704
821,Honda,Civic,2015,8727
134,Honda,Accord,2012,8797
975,Suzuki,Alto,2013,8797
771,Honda,Accord,2011,8835
1190,Toyota,Camry,2016,8844
872,Toyota,Camry,2014,8874
453,Toyota,Camry,2014,8883
1282,Hyundai,Sonata,2017,8889
1450,Suzuki,Alto,2014,8889
678,Ford,Mustang,2021,8942
38,Toyota,Corolla,2017,8952
1185,Suzuki,Swift,2011,8952
1306,Suzuki,Alto,2015,9065
665,Hyundai,Sonata,2023,9078
694,Ford,Mustang,2025,9101
1296,Hyundai,Sonata,2014,9110
607,Suzuki,Alto,2018,9179
1161,Suzuki,Alto,2026,9229
1263,Ford,Mustang,2018,9235
1439,Hyundai,Sonata,2019,9239
691,Ford,Explorer,2012,9247
404,Hyundai,Sonata,2013,9258
264,Hyundai,Sonata,2010,9278
1005,Hyundai,Sonata,2022,9287
1073,Hyundai,Elantra,2012,9324
137,Honda,Accord,2023,9336
34,Toyota,Camry,2013,9366
1039,Ford,Mustang,2016,9467
614,Toyota,Corolla,2023,9484
56,Toyota,Corolla,2024,9541
864,Hyundai,Elantra,2023,9574
885,Honda,Accord,2013,9586
953,Hyundai,Sonata,2025,9597
836,Toyota,Corolla,2014,9617
1123,Hyundai,Elantra,2010,9637
1403,Honda,Accord,2011,9643
858,Toyota,Corolla,2013,9681
1483,Suzuki,Alto,2011,9689
822,Suzuki,Alto,2020,9696
861,Ford,Explorer,2017,9701
1022,Hyundai,Sonata,2017,9772
1065,Hyundai,Elantra,2019,9800
1457,Hyundai,Elantra,2017,9828
237,Honda,Accord,2017,9846
1054,Ford,Mustang,2023,9931
803,Ford,Explorer,2019,9989
862,Hyundai,Sonata,2024,9990
1018,Hyundai,Sonata,2026,10029
1277,Ford,Explorer,2013,10047
1106,Suzuki,Swift,2010,10089
44,Hyundai,Elantra,2025,10091
1326,Honda,Accord,2018,10155
1120,Suzuki,Alto,2013,10159
599,Hyundai,Elantra,2010,10165
113,Honda,Accord,2026,10202
1490,Ford,Mustang,2023,10222
1166,Suzuki,Alto,2014,10230
156,Suzuki,Alto,2025,10234
312,Suzuki,Alto,2010,10238
359,Suzuki,Swift,2014,10251
1258,Ford,Explorer,2013,10290
4,Hyundai,Elantra,2018,10313
1349,Suzuki,Alto,2023,10318
774,Honda,Civic,2026,10357
105,Honda,Accord,2017,10384
985,Hyundai,Sonata,2021,10402
669,Hyundai,Elantra,2011,10493
411,Ford,Mustang,2026,10528
1204,Honda,Civic,2020,10573
916,Honda,Civic,2014,10574
847,Toyota,Camry,2024,10579
536,Hyundai,Elantra,2026,10634
782,Toyota,Camry,2018,10654
1197,Ford,Explorer,2011,10677
889,Suzuki,Alto,2022,10728
1454,Suzuki,Alto,2016,10751
120,Suzuki,Alto,2018,10892
904,Toyota,Camry,2018,10904
1268,Suzuki,Alto,2024,10921
1060,Suzuki,Swift,2014,10929
541,Ford,Explorer,2018,10973
770,Suzuki,Alto,2019,10979
1188,Honda,Accord,2025,11002
1424,Toyota,Corolla,2026,11021
1231,Ford,Explorer,2024,11047
1347,Ford,Mustang,2026,11069
24,Honda,Civic,2025,11138
1385,Suzuki,Swift,2024,11142
1446,Hyundai,Elantra,2018,11169
570,Toyota,Corolla,2018,11199
422,Honda,Accord,2016,11229
36,Ford,Explorer,2021,11237
16,Toyota,Camry,2012,11284
127,Ford,Explorer,2013,11292
59,Toyota,Corolla,2011,11303
425,Ford,Explorer,2022,11303
115,Hyundai,Elantra,2022,11311
152,Hyundai,Elantra,2023,11358
799,Hyundai,Elantra,2024,11461
860,Toyota,Corolla,2013,11464
921,Hyundai,Sonata,2018,11464
515,Suzuki,Alto,2020,11468
1487,Suzuki,Swift,2021,11492
338,Suzuki,Swift,2016,11493
810,Hyundai,Elantra,2014,11535
946,Honda,Civic,2024,11548
795,Ford,Mustang,2017,11549
705,Honda,Civic,2024,11553
700,Toyota,Camry,2026,11559
773,Honda,Civic,2023,11595
1262,Suzuki,Alto,2020,11651
801,Honda,Accord,2025,11661
1265,Suzuki,Swift,2022,11663
903,Toyota,Corolla,2019,11695
418,Hyundai,Elantra,2016,11724
1324,Honda,Civic,2019,11740
51,Honda,Civic,2014,11761
812,Honda,Civic,2025,11782
1407,Ford,Explorer,2020,11810
289,Hyundai,Sonata,2016,11854
181,Toyota,Camry,2019,11866
934,Ford,Mustang,2018,11897
941,Hyundai,Elantra,2026,11909
1498,Toyota,Corolla,2020,11945
826,Ford,Explorer,2015,11949
118,Toyota,Camry,2025,11962
514,Hyundai,Sonata,2024,11976
1251,Honda,Accord,2012,12045
111,Hyundai,Elantra,2020,12175
1284,Ford,Mustang,2018,12227
71,Suzuki,Alto,2011,12239
110,Toyota,Corolla,2019,12244
195,Hyundai,Elantra,2014,12245
542,Toyota,Corolla,2014,12262
1377,Ford,Mustang,2022,12302
719,Toyota,Corolla,2024,12335
138,Ford,Explorer,2018,12343
405,Ford,Mustang,2026,12395
331,Toyota,Corolla,2022,12406
248,Hyundai,Sonata,2026,12422
1415,Ford,Mustang,2019,12450
299,Toyota,Corolla,2011,12487
442,Honda,Accord,2019,12504
1089,Toyota,Camry,2018,12506
1445,Toyota,Corolla,2019,12518
221,Hyundai,Sonata,2021,12541
1194,Toyota,Camry,2014,12587
300,Ford,Mustang,2022,12607
813,Suzuki,Alto,2016,12653
1310,Toyota,Corolla,2013,12661
213,Toyota,Camry,2014,12696
1420,Suzuki,Alto,2019,12724
496,Suzuki,Alto,2011,12732
791,Hyundai,Elantra,2013,12732
146,Hyundai,Elantra,2017,12764
989,Suzuki,Alto,2022,12769
987,Suzuki,Alto,2012,12777
1221,Toyota,Corolla,2025,12800
155,Ford,Explorer,2025,12855
1323,Ford,Mustang,2012,12858
231,Hyundai,Sonata,2020,12874
214,Honda,Civic,2024,12899
128,Honda,Civic,2026,12929
884,Toyota,Camry,2014,12945
848,Hyundai,Elantra,2022,12988
1442,Ford,Explorer,2013,13044
74,Ford,Mustang,2010,13065
94,Honda,Accord,2023,13077
371,Honda,Civic,2011,13080
265,Honda,Accord,2013,13097
8,Hyundai,Elantra,2010,13154
1152,Toyota,Camry,2013,13162
1355,Suzuki,Swift,2022,13186
1345,Hyundai,Elantra,2021,13265
900,Toyota,Corolla,2024,13291
1219,Suzuki,Alto,2018,13323
881,Honda,Civic,2010,13335
73,Ford,Explorer,2011,13372
1226,Toyota,Camry,2013,13432
998,Ford,Mustang,2020,13486
1012,Toyota,Corolla,2014,13494
1049,Toyota,Corolla,2019,13521
1160,Hyundai,Elantra,2017,13525
41,Hyundai,Elantra,2023,13557
581,Ford,Explorer,2013,13560
1015,Suzuki,Swift,2025,13566
1395,Hyundai,Sonata,2021,13587
676,Toyota,Camry,2016,13618
797,Ford,Explorer,2022,13619
1477,Suzuki,Swift,2021,13645
559,Ford,Mustang,2013,13646
534,Honda,Accord,2014,13695
1465,Hyundai,Sonata,2022,13733
270,Ford,Mustang,2017,13778
147,Honda,Civic,2019,13787
377,Toyota,Corolla,2023,13846
454,Toyota,Camry,2020,13887
306,Honda,Accord,2023,13936
340,Suzuki,Alto,2011,13961
29,Ford,Explorer,2026,14074
91,Honda,Civic,2022,14101
922,Hyundai,Elantra,2018,14138
837,Honda,Accord,2026,14201
234,Suzuki,Alto,2019,14247
187,Ford,Explorer,2013,14291
302,Hyundai,Elantra,2022,14306
600,Suzuki,Swift,2020,14365
1401,Toyota,Camry,2019,14383
853,Ford,Explorer,2024,14409
924,Honda,Accord,2019,14576
1344,Toyota,Corolla,2026,14577
285,Toyota,Corolla,2020,14582
983,Ford,Explorer,2015,14597
1200,Ford,Mustang,2024,14599
609,Honda,Civic,2026,14603
995,Toyota,Corolla,2022,14631
432,Honda,Accord,2014,14636
917,Suzuki,Swift,2021,14676
855,Honda,Accord,2010,14697
259,Ford,Mustang,2012,14708
1354,Toyota,Camry,2026,14726
1272,Honda,Accord,2020,14761
2,Ford,Explorer,2017,14805
888,Ford,Explorer,2025,14830
1094,Suzuki,Alto,2016,14833
307,Suzuki,Swift,2010,14854
173,Toyota,Corolla,2023,14891
999,Suzuki,Swift,2022,14942
1038,Ford,Explorer,2021,14963
723,Ford,Mustang,2026,15003
392,Ford,Explorer,2022,15005
1453,Toyota,Camry,2018,15036
657,Toyota,Corolla,2023,15067
1207,Toyota,Corolla,2026,15095
141,Toyota,Camry,2018,15114
219,Toyota,Camry,2025,15156
135,Hyundai,Elantra,2024,15183
275,Hyundai,Elantra,2023,15184
272,Ford,Explorer,2026,15222
952,Toyota,Corolla,2011,15222
163,Toyota,Corolla,2013,15228
11,Toyota,Camry,2011,15288
972,Suzuki,Alto,2024,15321
549,Toyota,Corolla,2017,15325
1092,Suzuki,Alto,2013,15340
794,Honda,Accord,2015,15356
867,Suzuki,Alto,2020,15364
1139,Suzuki,Alto,2014,15445
360,Ford,Mustang,2015,15470
1109,Hyundai,Elantra,2019,15501
961,Honda,Accord,2014,15528
880,Suzuki,Swift,2018,15559
756,Ford,Mustang,2016,15620
546,Ford,Mustang,2010,15640
246,Toyota,Corolla,2012,15684
528,Honda,Accord,2017,15715
877,Ford,Explorer,2024,15727
250,Hyundai,Sonata,2015,15739
633,Suzuki,Swift,2013,15749
229,Suzuki,Swift,2015,15754
372,Hyundai,Elantra,2018,15770
171,Toyota,Corolla,2012,15872
613,Ford,Mustang,2016,15876
43,Suzuki,Alto,2011,15900
503,Hyundai,Elantra,2012,15910
153,Ford,Mustang,2015,15924
92,Hyundai,Elantra,2011,15966
738,Honda,Accord,2011,16030
1425,Toyota,Corolla,2012,16040
403,Suzuki,Swift,2013,16071
537,Hyundai,Elantra,2026,16076
253,Toyota,Camry,2022,16078
150,Hyundai,Elantra,2011,16141
714,Honda,Civic,2026,16174
898,Toyota,Corolla,2012,16183
384,Honda,Civic,2013,16205
1298,Toyota,Camry,2010,16221
702,Suzuki,Alto,2014,16229
368,Ford,Mustang,2025,16271
1497,Hyundai,Sonata,2014,16279
752,Honda,Accord,2025,16296
1289,Ford,Mustang,2013,16309
75,Suzuki,Alto,2012,16325
789,Ford,Mustang,2019,16329
1440,Honda,Accord,2023,16357
969,Honda,Accord,2012,16363
1302,Hyundai,Sonata,2023,16375
102,Toyota,Corolla,2016,16380
1147,Suzuki,Swift,2014,16384
95,Ford,Mustang,2014,16386
327,Honda,Civic,2021,16388
839,Honda,Civic,2018,16407
15,Suzuki,Alto,2012,16422
1159,Ford,Explorer,2018,16452
251,Toyota,Corolla,2022,16466
464,Suzuki,Swift,2010,16470
1478,Toyota,Corolla,2026,16476
1043,Suzuki,Alto,2015,16518
383,Suzuki,Alto,2018,16616
1126,Toyota,Camry,2022,16626
356,Ford,Mustang,2010,16636
1222,Honda,Accord,2023,16640
1452,Suzuki,Swift,2023,16680
1368,Toyota,Camry,2018,16743
1150,Toyota,Corolla,2025,16748
31,Honda,Civic,2012,16767
831,Hyundai,Elantra,2015,16870
1118,Hyundai,Sonata,2022,16903
763,Suzuki,Swift,2023,16913
512,Toyota,Camry,2018,17005
992,Suzuki,Swift,2024,17027
1198,Ford,Explorer,2012,17028
1088,Honda,Civic,2021,17034
1121,Toyota,Corolla,2014,17073
1235,Hyundai,Elantra,2023,17104
373,Suzuki,Swift,2021,17161
1360,Suzuki,Swift,2025,17274
1168,Suzuki,Alto,2013,17290
499,Hyundai,Elantra,2024,17313
962,Honda,Accord,2019,17375
720,Ford,Explorer,2019,17393
1361,Hyundai,Elantra,2017,17405
706,Toyota,Corolla,2024,17412
149,Suzuki,Swift,2015,17442
18,Ford,Explorer,2021,17461
1032,Hyundai,Elantra,2020,17464
501,Hyundai,Elantra,2017,17476
123,Honda,Accord,2017,17509
278,Ford,Mustang,2022,17515
1097,Hyundai,Sonata,2011,17589
207,Honda,Accord,2023,17602
522,Ford,Explorer,2016,17648
1293,Hyundai,Sonata,2011,17650
618,Toyota,Camry,2026,17659
565,Hyundai,Sonata,2017,17686
557,Suzuki,Swift,2012,17815
1441,Hyundai,Sonata,2024,17822
943,Honda,Accord,2012,17842
54,Suzuki,Alto,2018,17843
790,Suzuki,Swift,2016,17855
394,Honda,Accord,2021,17863
157,Ford,Explorer,2023,17871
10,Toyota,Camry,2018,17872
1003,Ford,Mustang,2011,17893
746,Suzuki,Alto,2011,17943
718,Suzuki,Swift,2010,17944
798,Hyundai,Sonata,2017,17980
1371,Suzuki,Alto,2017,17982
1202,Toyota,Corolla,2018,18021
257,Hyundai,Sonata,2026,18049
620,Ford,Explorer,2026,18057
6,Hyundai,Elantra,2022,18063
1255,Honda,Civic,2020,18085
634,Ford,Mustang,2022,18096
597,Ford,Explorer,2026,18191
165,Hyundai,Sonata,2011,18227
1399,Toyota,Corolla,2022,18244
1013,Hyundai,Elantra,2015,18259
262,Ford,Explorer,2022,18297
1279,Hyundai,Sonata,2018,18349
808,Hyundai,Elantra,2012,18360
857,Suzuki,Swift,2022,18424
735,Toyota,Camry,2011,18426
1016,Ford,Explorer,2020,18434
176,Ford,Mustang,2022,18453
695,Honda,Civic,2021,18483
865,Ford,Mustang,2019,18529
1001,Suzuki,Alto,2017,18564
480,Toyota,Corolla,2011,18604
684,Hyundai,Sonata,2026,18627
1232,Suzuki,Swift,2012,18647
1475,Suzuki,Swift,2022,18665
688,Ford,Explorer,2026,18795
693,Ford,Mustang,2015,18809
81,Honda,Accord,2015,18841
907,Hyundai,Sonata,2018,18878
318,Toyota,Camry,2019,18932
1463,Honda,Civic,2022,18986
117,Ford,Explorer,2012,18989
966,Honda,Accord,2013,19002
524,Suzuki,Swift,2025,19035
994,Suzuki,Swift,2018,19058
376,Toyota,Corolla,2017,19106
1229,Ford,Explorer,2022,19166
347,Ford,Mustang,2010,19256
1191,Honda,Civic,2014,19269
535,Honda,Accord,2014,19300
1462,Hyundai,Sonata,2014,19309
1435,Hyundai,Sonata,2010,19337
1199,Ford,Explorer,2015,19348
1247,Toyota,Corolla,2024,19362
268,Hyundai,Elantra,2016,19513
1176,Honda,Accord,2025,19557
1083,Honda,Civic,2025,19558
1358,Honda,Civic,2017,19570
489,Hyundai,Sonata,2026,19606
322,Hyundai,Elantra,2010,19608
1069,Hyundai,Elantra,2023,19625
1443,Suzuki,Alto,2014,19645
806,Suzuki,Alto,2024,19662
33,Ford,Explorer,2015,19693
509,Hyundai,Elantra,2021,19727
622,Hyundai,Elantra,2025,19741
1346,Toyota,Camry,2023,19745
749,Toyota,Camry,2023,19760
544,Toyota,Corolla,2026,19824
1119,Ford,Explorer,2023,19861
530,Suzuki,Swift,2018,19878
83,Hyundai,Sonata,2012,19881
1264,Suzuki,Swift,2024,19894
1080,Honda,Civic,2023,19895
103,Hyundai,Elantra,2025,19931
615,Suzuki,Swift,2011,19933
616,Suzuki,Alto,2018,19936
416,Hyundai,Sonata,2024,19967
131,Ford,Mustang,2025,19970
1459,Suzuki,Swift,2025,19993
88,Honda,Civic,2025,19995
1266,Hyundai,Sonata,2023,20012
1402,Suzuki,Alto,2013,20046
325,Suzuki,Alto,2011,20054
66,Ford,Explorer,2023,20077
1004,Hyundai,Sonata,2018,20093
553,Ford,Explorer,2014,20103
1413,Hyundai,Elantra,2019,20103
142,Hyundai,Elantra,2025,20104
1356,Toyota,Camry,2016,20110
1027,Ford,Mustang,2021,20131
274,Ford,Explorer,2023,20163
875,Honda,Civic,2016,20187
619,Suzuki,Swift,2014,20190
1116,Toyota,Corolla,2017,20221
1170,Hyundai,Elantra,2021,20319
523,Honda,Civic,2011,20324
393,Toyota,Corolla,2021,20383
905,Ford,Mustang,2015,20425
901,Honda,Civic,2020,20432
116,Ford,Explorer,2018,20517
361,Hyundai,Elantra,2015,20537
919,Toyota,Camry,2026,20540
1011,Suzuki,Alto,2011,20580
1098,Honda,Civic,2010,20621
490,Toyota,Corolla,2019,20623
651,Suzuki,Alto,2015,20628
507,Ford,Explorer,2025,20649
846,Suzuki,Swift,2016,20675
555,Toyota,Camry,2024,20697
505,Suzuki,Swift,2015,20700
667,Hyundai,Elantra,2016,20733
1381,Ford,Explorer,2014,20787
666,Ford,Mustang,2014,20801
396,Hyundai,Sonata,2015,20867
309,Ford,Mustang,2018,20900
230,Hyundai,Elantra,2016,20930
645,Ford,Explorer,2010,20979
564,Ford,Mustang,2016,20980
635,Hyundai,Sonata,2016,20993
816,Suzuki,Alto,2018,21018
99,Honda,Civic,2021,21028
1406,Toyota,Corolla,2012,21039
664,Hyundai,Sonata,2019,21116
1131,Ford,Explorer,2016,21231
1321,Toyota,Corolla,2022,21240
1028,Toyota,Corolla,2013,21307
641,Suzuki,Alto,2018,21351
768,Honda,Civic,2017,21376
569,Hyundai,Sonata,2026,21385
525,Hyundai,Sonata,2018,21437
1210,Honda,Civic,2024,21450
561,Honda,Civic,2016,21477
703,Ford,Explorer,2014,21494
1041,Toyota,Camry,2019,21511
319,Ford,Explorer,2012,21525
471,Toyota,Corolla,2013,21539
17,Hyundai,Elantra,2026,21560
320,Suzuki,Swift,2024,21566
220,Ford,Mustang,2026,21636
715,Hyundai,Sonata,2015,21638
781,Toyota,Camry,2017,21653
9,Honda,Civic,2026,21704
421,Toyota,Corolla,2022,21709
1006,Ford,Mustang,2026,21710
1248,Suzuki,Alto,2017,21777
1297,Honda,Accord,2022,21819
481,Honda,Civic,2012,21855
1134,Honda,Accord,2011,21872
1273,Toyota,Corolla,2011,21940
1307,Hyundai,Elantra,2018,21945
358,Hyundai,Sonata,2015,21965
1379,Suzuki,Alto,2023,21975
716,Honda,Accord,2018,21998
420,Hyundai,Elantra,2020,22013
1249,Suzuki,Alto,2019,22028
1287,Honda,Civic,2014,22049
1488,Ford,Mustang,2010,22116
926,Suzuki,Alto,2015,22161
186,Suzuki,Swift,2021,22242
709,Suzuki,Swift,2018,22266
511,Ford,Explorer,2026,22270
1046,Honda,Civic,2023,22277
334,Honda,Civic,2020,22285
143,Honda,Civic,2018,22291
255,Toyota,Camry,2010,22320
958,Ford,Explorer,2020,22351
1,Hyundai,Elantra,2018,22358
427,Honda,Civic,2025,22434
526,Toyota,Camry,2019,22454
1350,Hyundai,Sonata,2022,22468
741,Suzuki,Swift,2010,22498
777,Toyota,Camry,2023,22513
129,Suzuki,Swift,2023,22550
382,Hyundai,Elantra,2010,22604
315,Ford,Explorer,2016,22605
1201,Hyundai,Elantra,2015,22657
1019,Hyundai,Elantra,2014,22673
497,Suzuki,Swift,2025,22674
662,Toyota,Camry,2015,22717
1112,Suzuki,Swift,2023,22749
1396,Suzuki,Alto,2016,22763
845,Toyota,Corolla,2014,22787
1033,Ford,Explorer,2018,22835
184,Hyundai,Sonata,2024,22855
414,Suzuki,Swift,2011,22856
957,Toyota,Camry,2018,22881
349,Suzuki,Alto,2020,22943
1448,Suzuki,Swift,2013,22981
57,Hyundai,Elantra,2014,23008
58,Honda,Civic,2011,23239
828,Honda,Civic,2010,23259
324,Honda,Accord,2025,23295
920,Honda,Civic,2019,23298
1316,Honda,Civic,2026,23306
610,Suzuki,Swift,2015,23350
933,Toyota,Camry,2017,23380
704,Suzuki,Swift,2026,23413
295,Ford,Mustang,2016,23420
748,Ford,Explorer,2023,23461
1256,Hyundai,Elantra,2016,23515
951,Honda,Accord,2019,23517
1494,Honda,Accord,2019,23524
608,Ford,Mustang,2013,23537
366,Suzuki,Alto,2015,23589
690,Suzuki,Swift,2010,23611
1181,Honda,Civic,2017,23644
689,Hyundai,Sonata,2018,23658
216,Honda,Accord,2014,23701
547,Suzuki,Alto,2013,23737
291,Hyundai,Sonata,2025,23746
86,Ford,Explorer,2021,23789
851,Hyundai,Elantra,2020,23792
1317,Ford,Explorer,2025,23824
637,Hyundai,Elantra,2022,23850
172,Honda,Civic,2026,23858
70,Hyundai,Sonata,2019,23864
434,Toyota,Corolla,2025,23873
646,Honda,Civic,2026,23915
239,Toyota,Corolla,2024,23926
317,Toyota,Corolla,2023,23940
1313,Suzuki,Swift,2026,23958
574,Ford,Explorer,2018,23987
1182,Suzuki,Alto,2021,24004
1081,Hyundai,Elantra,2016,24053
1050,Honda,Civic,2010,24115
488,Hyundai,Sonata,2026,24176
886,Hyundai,Elantra,2012,24178
1186,Ford,Mustang,2022,24195
1318,Hyundai,Elantra,2025,24244
1419,Ford,Mustang,2021,24249
563,Hyundai,Elantra,2012,24272
1376,Toyota,Camry,2020,24307
458,Ford,Mustang,2010,24339
571,Hyundai,Sonata,2022,24357
1492,Suzuki,Swift,2014,24360
1137,Suzuki,Swift,2025,24404
243,Suzuki,Swift,2024,24446
942,Hyundai,Elantra,2023,24450
271,Suzuki,Swift,2017,24456
1461,Hyundai,Sonata,2021,24459
316,Honda,Civic,2024,24467
424,Toyota,Corolla,2026,24476
820,Toyota,Corolla,2021,24515
1213,Hyundai,Elantra,2011,24519
428,Hyundai,Elantra,2017,24552
1373,Ford,Explorer,2026,24578
1072,Ford,Mustang,2012,24594
495,Hyundai,Sonata,2024,24614
675,Hyundai,Elantra,2025,24651
178,Suzuki,Swift,2022,24674
1292,Toyota,Camry,2019,24684
457,Suzuki,Alto,2017,24691
892,Hyundai,Elantra,2018,24725
1308,Honda,Accord,2020,24745
1473,Suzuki,Swift,2014,24788
1300,Suzuki,Alto,2022,24812
1203,Hyundai,Sonata,2022,24813
630,Suzuki,Swift,2011,24834
730,Hyundai,Elantra,2015,24951
868,Hyundai,Sonata,2017,25027
560,Suzuki,Swift,2024,25039
506,Hyundai,Elantra,2010,25040
529,Ford,Mustang,2016,25076
180,Honda,Accord,2014,25081
459,Ford,Explorer,2012,25106
1143,Toyota,Corolla,2019,25112
629,Ford,Explorer,2014,25132
1438,Toyota,Camry,2018,25190
603,Toyota,Corolla,2015,25256
944,Honda,Civic,2011,25303
674,Ford,Mustang,2015,25317
1175,Honda,Civic,2010,25347
286,Hyundai,Sonata,2010,25357
780,Toyota,Corolla,2026,25408
568,Honda,Accord,2015,25456
326,Ford,Explorer,2017,25464
399,Toyota,Corolla,2012,25487
465,Ford,Mustang,2011,25501
1315,Honda,Accord,2017,25523
408,Hyundai,Sonata,2010,25623
508,Suzuki,Swift,2019,25629
870,Suzuki,Swift,2013,25719
1372,Honda,Accord,2013,25719
1031,Ford,Explorer,2023,25771
711,Hyundai,Sonata,2025,25805
475,Toyota,Corolla,2015,25807
582,Toyota,Camry,2010,25839
796,Suzuki,Alto,2016,25857
1388,Suzuki,Alto,2015,25864
863,Suzuki,Swift,2025,25871
978,Suzuki,Swift,2022,25875
100,Toyota,Camry,2018,25885
387,Honda,Accord,2022,25904
42,Honda,Accord,2014,25968
707,Toyota,Corolla,2025,25985
473,Ford,Mustang,2019,25991
584,Hyundai,Elantra,2018,25995
654,Suzuki,Swift,2013,26019
840,Ford,Mustang,2023,26067
1140,Suzuki,Swift,2023,26098
